 ,Slice,Name,Area_raw,Aspect Ratio_Maj_Min,Mobility
1,0,Demo_video (2),7261,2.904,0
2,1,Demo_video (2),7192,3.019,0
3,2,Demo_video (2),7192,3.019,156
4,3,Demo_video (2),7126,3.078,2
5,4,Demo_video (2),7124,3.080,222
6,5,Demo_video (2),6883,3.090,101
7,6,Demo_video (2),6752,3.105,0
8,7,Demo_video (2),6752,3.105,265
9,8,Demo_video (2),6591,3.149,131
10,9,Demo_video (2),6559,3.181,7
11,10,Demo_video (2),6565,3.176,142
12,11,Demo_video (2),6550,3.138,153
13,12,Demo_video (2),6545,3.157,275
14,13,Demo_video (2),6532,3.256,143
15,14,Demo_video (2),6491,3.321,5
16,15,Demo_video (2),6495,3.318,133
17,16,Demo_video (2),6475,3.404,79
18,17,Demo_video (2),6466,3.487,171
19,18,Demo_video (2),6461,3.551,124
20,19,Demo_video (2),6484,3.597,137
21,20,Demo_video (2),6516,3.662,7
22,21,Demo_video (2),6523,3.659,179
23,22,Demo_video (2),6539,3.724,6
24,23,Demo_video (2),6538,3.725,458
25,24,Demo_video (2),6566,3.891,115
26,25,Demo_video (2),6568,3.914,105
27,26,Demo_video (2),6558,3.932,5
28,27,Demo_video (2),6560,3.931,264
29,28,Demo_video (2),6643,3.972,132
30,29,Demo_video (2),6704,3.959,91
31,30,Demo_video (2),6713,3.953,131
32,31,Demo_video (2),6679,3.978,0
33,32,Demo_video (2),6679,3.978,76
34,33,Demo_video (2),6675,4.018,122
35,34,Demo_video (2),6696,4.030,67
36,35,Demo_video (2),6695,4.027,68
37,36,Demo_video (2),6709,4.052,2
38,37,Demo_video (2),6711,4.051,133
39,38,Demo_video (2),6757,4.058,42
40,39,Demo_video (2),6749,4.063,46
41,40,Demo_video (2),6748,4.054,177
42,41,Demo_video (2),6734,4.038,0
43,42,Demo_video (2),6734,4.038,69
44,43,Demo_video (2),6759,4.042,77
45,44,Demo_video (2),6779,4.060,59
46,45,Demo_video (2),6811,4.049,210
47,46,Demo_video (2),6859,4.055,0
48,47,Demo_video (2),6859,4.055,112
49,48,Demo_video (2),6898,4.052,2
50,49,Demo_video (2),6899,4.052,136
51,50,Demo_video (2),6895,4.069,74
52,51,Demo_video (2),6907,4.068,97
53,52,Demo_video (2),6901,4.037,124
54,53,Demo_video (2),6930,4.051,4
55,54,Demo_video (2),6927,4.048,49
56,55,Demo_video (2),6936,4.041,180
57,56,Demo_video (2),6964,4.018,58
58,57,Demo_video (2),6993,4.008,57
59,58,Demo_video (2),7000,4.008,0
60,59,Demo_video (2),7000,4.008,182
61,60,Demo_video (2),7025,3.990,150
62,61,Demo_video (2),7075,3.966,63
63,62,Demo_video (2),7065,3.986,247
